title,image,description
Le « Lancet Countdown » mesure les effets alarmants du changement climatique sur la santé,https://img.lemde.fr/2023/11/14/0/0/3000/2000/110/73/60/0/4837187_1699971667412-903042.jpg,"Un rapport issu des travaux de 114 experts établit l’impact du réchauffement en matière de mortalité, d’insécurité alimentaire et de transmission des maladies."
Fin de vie : Emmanuel Macron tarde à trancher certains points du projet de loi,https://img.lemde.fr/2023/11/14/267/0/4000/2666/110/73/60/0/cd3a7b3_1699952000167-kzihnioglu-macron-armistice-11092023-07.JPG,La question de l’« exception d’euthanasie » doit encore être arbitrée par le chef de l’Etat qui doit recevoir les ministres concernés par le sujet prochainement. L’hypothèse de faire voter le texte par référendum fait aussi débat.
Des soignants racontent comment ils se sont forgé une conviction sur l’euthanasie : « C’est moi qui vais m’en rappeler tous les jours de ma vie »,https://img.lemde.fr/2023/11/10/390/0/4480/2986/110/73/60/0/f4d36a6_1699628779166-231030jbalague-monde-findevie-025.jpg,"Alors que le gouvernement peaufine son projet d’évolution de la loi, des praticiens racontent comment leur pratique auprès des malades, leurs dilemmes et des histoires intimes leur ont permis de se forger une opinion. Certains estiment que leur rôle est d’accompagner leurs patients jusqu’à répondre à leur demande de mourir, d’autres s’y opposent."
Impact des écrans sur les enfants : une méta-analyse fait état d’effets d’intensité « faible à modérée »,https://img.lemde.fr/2023/11/13/0/4/4920/3280/110/73/60/0/78b05e9_1699869905398-000-par7656082.jpg,"Les auteurs d’une vaste revue de la littérature scientifique estiment que les recommandations sanitaires ne devraient pas concerner uniquement la durée d’exposition aux écrans, mais aussi le contexte d’utilisation."
"Au Liberia, la jeunesse ravagée par la drogue",https://img.lemde.fr/2023/11/03/4/0/4464/2976/110/73/60/0/c17576b_1699020677961-fumei-e.jpg,"Dans ce pays d’Afrique de l’Ouest marqué par quatorze années de guerre civile (1990-2003), la consommation de stupéfiants a explosé. Si les autorités commencent à mesurer l’ampleur du phénomène, le manque de structures sanitaires grève la prise en charge des consommateurs."
Fin de vie : « Mesure-t-on le risque d’ouvrir le chantier vertigineux de la légitimité de la demande d’accéder à la mort ? »,https://img.lemde.fr/2023/06/21/0/100/5041/3361/110/73/60/0/aa362f2_1687363479139-pns-4714163.jpg,"Loin de la mort douce promise, à l’abri du tumulte extérieur et des incertitudes, la création d’un droit à l’aide au suicide pourrait engendrer une multitude de situations problématiques, souligne, dans une tribune au « Monde », la juriste Marie Grosset."
"Un quatrième mort dans un Ehpad d’Ille-et-Vilaine, après une probable intoxication alimentaire",https://img.lemde.fr/2023/10/23/0/0/5860/3907/110/73/60/0/0ac1c14_1698072441024-hanslucas-hl-aboureau-2138702.jpg,"Selon le quotidien « Ouest-France », la direction de la résidence Les Marais, de Pleine-Fougères, a confirmé que « l’origine alimentaire » de la pathologie était « aujourd’hui avérée »"
"« Si nous n’agissons pas, les changements climatiques conduiront bientôt à la submersion des systèmes de santé du monde entier »",https://img.lemde.fr/2022/03/30/216/0/5184/3456/110/73/60/0/f88a43e_1648623765275-pns-3924713.jpg,"Le directeur général de l’OMS, le président de la COP28 et l’envoyée spéciale de l’OMS pour les changements climatiques et la santé alertent, dans une tribune au « Monde », sur l’impact majeur que les changements climatiques pourraient avoir sur la santé et appellent à prendre des mesures fortes lors de la Journée de la santé, qui se tiendra le 3 décembre."
Suppression de l’AME : 3 500 médecins menacent de désobéir si l’aide médicale d’Etat disparaît,https://img.lemde.fr/2020/10/16/0/0/3500/2333/110/73/60/0/386c1f3_gggpr05-health-coronavirus-france-hospital-1016-11.JPG,"Ces professionnels de santé s’engagent à « continuer de soigner gratuitement » les malades sans papiers si le dispositif devait disparaître, comme le souhaite une partie de la classe politique."
"Etre un père présent à l’accouchement, oui, mais comment ?",https://img.lemde.fr/2023/10/09/0/378/1961/1307/110/73/60/0/b235177_1696845556808-s3-eu-west-1-wellcomecollection-storage-digitised-b12025069-v1-data-objects-v0017247-ra-ra-jp2.jpg,"« Mon père, ce héros ». Un récit intime de paternité, par Gabriel Coutagne. Tout a commencé à la maternité des Bluets, à Paris, un après-midi de décembre 2022."
Education : « Pourquoi n’envisageons-nous pas que les élèves les plus avancés puissent sauter la classe de CM2 ou la 6ᵉ ? »,https://img.lemde.fr/2023/03/02/0/0/6000/4000/110/73/60/0/4656cf5_1677770202773-000-9m34fn.jpg,"Alors que le ministre de l’éducation nationale, Gabriel Attal, s’apprête à annoncer des mesures pour « élever le niveau » scolaire, Ali Saïb et Baptiste Larseneur, experts à l’Institut Montaigne, plaident, dans une tribune au « Monde », pour l’aménagement du collège unique."
Pourquoi les groupes de niveau au collège pourraient accroître les inégalités sans élever le niveau général,https://img.lemde.fr/2023/11/27/57/0/7268/4845/110/73/60/0/afda881_1701097189279-000-33rb7jh.jpg,"Le ministre de l’éducation nationale, Gabriel Attal, réfléchit à la création de groupes de niveau au collège pour améliorer les résultats. Une mesure qui risque, selon les chercheurs, d’accroître les inégalités sans élever le niveau général."
"« Finale des championnats d’Europe. Arrivée au milieu, je déchire mon dossard. Le début d’une descente aux enfers »",https://img.lemde.fr/2023/10/26/0/0/3543/2362/110/73/60/0/d12e60a_1698331746805-premiei-re-fois-lemonde-01.jpg,"« Premières fois » : récits de moments charnières autour du passage à l’âge adulte. Cette semaine, Claire Palou, 21 ans, ex-espoir de l’athlétisme français, raconte comment le monde du sport de haut niveau a causé sa dépression."
"Dominique Méda, sociologue : « Cessons de répéter que les jeunes ne veulent plus travailler »",https://img.lemde.fr/2023/11/23/1/0/6000/4000/110/73/60/0/b01418e_5945822-01-06.jpg,"Enquêtes et sondages démontrent l’inanité des jugements portés sur « la jeunesse », dont les attentes et les opinions sont aussi diverses que celles des autres générations, affirme la professeure de sociologie dans sa chronique."
"Déçus par Parcoursup, comment avez-vous rebondi ?",https://img.lemde.fr/2023/05/22/0/0/2125/1417/110/73/60/0/c9aa0cb_1684760189910-parcoursup-choix2-exe.jpg,"Vous n’avez pas obtenu la formation que vous désiriez lors d’une précédente session de la procédure d’admission postbac, mais avez finalement découvert ou trouvé une voie qui vous convient. Racontez-nous."
"L’alcool sur les campus, une problématique épineuse pour les écoles et les universités",https://img.lemde.fr/2013/07/29/6/0/1024/683/110/73/60/0/ill_3454886_e0a6_binge.jpg,"Entre créer un esprit de corps, où les débordements liés à l’alcool sont institutionnalisés, et avertir des dangers inhérents à sa consommation, les administrations de l’enseignement supérieur marchent sur un fil tendu."
"Les « Rich Kids of Instagram », ces fils et filles à papa vantards et flambeurs",https://img.lemde.fr/2023/11/15/610/0/1890/1260/110/73/60/0/ce11491_1700044216768-115da50-1686048314389-v2.jpg,"Dans « Toi mème », Anne Chirol raconte les archétypes numériques de l’époque, de la #tradwife au #fuckboy. Cette semaine, les « Rich Kids of Instagram », ces jeunes qui étalent leur fortune sur les réseaux sociaux et ont donné naissance à des comptes parodiques."
"Carole Grandjean, ministre déléguée chargée de l’enseignement professionnel : « En terminale, nous proposerons des parcours différenciés aux élèves selon leur projet »",https://img.lemde.fr/2023/11/21/0/0/5568/3712/110/73/60/0/2bdfb3e_1700577830198-000-32fa4fz.jpg,"Dans un entretien au « Monde », la ministre revient sur la réforme qui devrait s’appliquer dès la rentrée 2024. Une nouvelle organisation contestée par de nombreux enseignants, qui appellent à la grève."
